ACEH,317869.41,297058.38,271750.2,55.28,55.03,55.55,1757313.07,1634639.6,1509456
SUMATERA UTARA,388591.22,385405,411462.1,52.51,52,50.76,2040500.19,2004142.51,2088584
SUMATERA BARAT,295664.47,272391.95,271883.1,46.92,48.36,50.52,1387269.29,1317209.38,1373532
RIAU,64733.13,53062.35,51054.04,37.64,40.98,41.83,243685.04,217458.87,213557.2
JAMBI,84772.93,64412.26,60539.59,45.58,46.29,45.88,386413.49,298149.25,277743.8
SUMATERA SELATAN,551320.76,496241.65,513378.2,49.75,51.44,54.06,2743059.68,2552443.19,2775069
BENGKULU,64137.28,55704.69,57151.84,45.66,48.67,49.27,292834.04,271117.19,281610.1
LAMPUNG,545149.05,489573.23,518256.1,48.62,50.77,51.87,2650289.64,2485452.78,2688160
KEP. BANGKA BELITUNG,17840.55,18278.27,15107.8,32.13,38.57,40.66,57324.32,70496.25,61425.07
KEP. RIAU,298.52,270.16,179.48,28.56,31.65,28.24,852.54,855.01,506.91
DKI JAKARTA,914.51,559.97,477.25,49.69,58.03,48.98,4543.93,3249.47,2337.77
JAWA BARAT,1586888.63,1604109.31,1662404,56.82,56.81,56.75,9016772.58,9113573.08,9433723
JAWA TENGAH,1666931.49,1696712.36,1688670,56.93,56.69,55.41,9489164.62,9618656.81,9356445
DI YOGYAKARTA,110548.12,107506.16,110927.2,47.35,51.77,50.64,523395.95,556531.03,561699.5
JAWA TIMUR,1754380.3,1747481.2,1693211,56.68,56.02,56.26,9944538.26,9789587.67,9526516
BANTEN,325333.24,318248.46,337240.7,50.88,50.38,53.04,1655170.09,1603247,1788583
BALI,90980.69,105201.31,112320.6,58.49,58.83,60.59,532168.45,618910.81,680601.6
NUSA TENGGARA BARAT,273460.82,276211.88,270092.9,48.17,51.39,53.79,1317189.81,1419559.84,1452945
NUSA TENGGARA TIMUR,181690.63,174900.07,183092,39.9,41.85,41.29,725024.3,731877.74,756049.9
KALIMANTAN BARAT,256575.43,223165.74,241478.6,30.33,31.9,30.28,778170.36,711898.01,731225.8
KALIMANTAN TENGAH,143275.05,125870.05,108226.8,31.96,30.28,31.78,457952,381189.55,343918.8
KALIMANTAN SELATAN,289836.35,254263.59,214908.9,39.69,39.97,38.13,1150306.66,1016313.55,819419.2
KALIMANTAN TIMUR,73568.44,66269.46,64970.01,35.67,36.92,36.85,262434.52,244677.96,239425.3
KALIMANTAN UTARA,9883.05,8880.83,8604.19,33.97,33.74,35.49,33574.28,29967.31,30533.59
SULAWESI UTARA,61827.86,59182.52,58195.56,40.25,39.35,41.88,248879.48,232884.76,243730.3
SULAWESI TENGAH,178066.94,182186.62,168993.2,44.49,47.59,44.05,792248.84,867012.77,744408.7
SULAWESI SELATAN,976258.14,985158.23,1038084,48.23,51.67,51.64,4708464.97,5090637.23,5360169
SULAWESI TENGGARA,133697.15,127517.29,118258.8,39.85,41.57,40.5,532773.49,530029.08,478958
GORONTALO,48686.34,48713.5,46823.47,46.75,48.12,51.29,227627.2,234392.86,240134.5
SULAWESI BARAT,64826.18,59763.18,69323.95,53.23,52.05,50.99,345050.37,311072.46,353513.3
MALUKU,28668.22,28319.75,23987.82,38.53,41.24,38.6,110447.3,116803.67,92601.06
MALUKU UTARA,10301.91,7781.96,6416.45,42.11,36.05,38.16,43382.85,28050.8,24486.03
PAPUA BARAT,7570.63,6414.94,5460.59,32.2,41.98,43.89,24378.33,26926.93,23963.92
PAPUA,52727.52,64984.9,49741.91,31.48,44.05,38.99,166002.3,286279.8,193943.5
INDONESIA,10657274.96,10411801.22,10452672,51.28,52.26,52.38,54649202.24,54415294.22,54748977
